track,artist
I'm a Mess,Bebe Rexha
Expectations,Lauren Jauregui
7 rings,Ariana Grande
"thank u, next",Ariana Grande
God is a woman,Ariana Grande
One Last Time,Ariana Grande
"break up with your girlfriend, i'm bored",Ariana Grande
boyfriend (with Social House),"Ariana Grande, Social House"
no tears left to cry,Ariana Grande
Señorita,"Shawn Mendes, Camila Cabello"
Bodies,Bianca Symm
ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco"
IDGAF,Dua Lipa
Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B"
Without Me,Halsey
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B"
FRIENDS,"Marshmello, Anne-Marie"
Wolves,"Selena Gomez, Marshmello"
Havana (feat. Young Thug),"Camila Cabello, Young Thug"
How Long,Charlie Puth
I Like It,"Cardi B, Bad Bunny, J Balvin"
Believer,Imagine Dragons
In My Feelings,Drake
Mi Gente,"J Balvin, Willy William"
Sucker,Jonas Brothers
New Rules,Dua Lipa
Closer,"The Chainsmokers, Halsey"
It Ain’t Me (with Selena Gomez),"Kygo, Selena Gomez"
Shake It Off,Taylor Swift
This Is What You Came For,"Calvin Harris, Rihanna"
What Do You Mean?,Justin Bieber
Sugar,Maroon 5
Attention,Charlie Puth
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
NO,Meghan Trainor
She's Crazy but She's Mine,Alex Sparrow
Lovely,Hollyn
Love Your Voice,JONY
Crying in the Club,Camila Cabello
Look What You Made Me Do,Taylor Swift
If I Can't Have You,Shawn Mendes
Blank Space,Taylor Swift
Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj"
Bad Blood,"Taylor Swift, Kendrick Lamar"
Personal,HRVY
Bad Blood,Taylor Swift
Drag Me Down,One Direction
Into You,Ariana Grande
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign"
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie"
Kill Em With Kindness,Selena Gomez
2U (feat. Justin Bieber),"David Guetta, Justin Bieber"
Dangerous Woman,Ariana Grande
Wildest Dreams,Taylor Swift
Dusk Till Dawn (feat. Sia) - Luca Lush Remix,"ZAYN, Luca Lush, Sia"
We Don't Talk Anymore (feat. Selena Gomez) - Lash Remix,"Charlie Puth, Selena Gomez, Lash"
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign"
Breaking Me,"Topic, A7S"
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),"Pitbull, J Balvin, Camila Cabello"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Afrojack, Bebe Rexha, Nicki Minaj"
Kings & Queens,Ava Max
Love You Like A Love Song,Selena Gomez & The Scene
Shake It Off,Taylor Swift
Baby Marvake Maanegi,Raftaar
Move,Raftaar
I Like Me Better,Lauv
Jaguar,Sukh-E Muzical Doctorz
Satisfya,Imran Khan
bad guy,Billie Eilish
Billie Jean,Michael Jackson
Dangerous,"Kardinal Offishall, Akon"
Chal Wahan Jaate Hain,"Arijit Singh, Rashmi Virag, Amaal Mallik"
Xuronjona,"Tonmoy Krypton, Sannidhya Bhuyan"
Everything at Once,"Lenka Kripac, Lenka"
Oh No Oh No Oh No No No,Dubskie
Thug Ranjha,AKASA
Hotter Than Hell,Dua Lipa
Break My Heart,Dua Lipa
BURN IT DOWN,Linkin Park
Something Just Like This,"The Chainsmokers, Coldplay"
Paris,The Chainsmokers
What Makes You Beautiful,One Direction
On & On,"Cartoon, Daniel Levi"
Lean On,"Major Lazer, MØ, DJ Snake"
Ek Mulaqat,Altamash Faridi
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean"
"Whenever, Wherever",Shakira
Girlfriend,Avril Lavigne
Up,Cardi B
Oops!...I Did It Again,Britney Spears
My Feelings,"Serhat Durmus, Georgia Ku"
Hislerim,"Serhat Durmus, Zerrin"
La Câlin,Serhat Durmus
Levitating,Dua Lipa
MONTERO (Call Me By Your Name),Lil Nas X
Jalebi Baby (Tesher x Jason Derulo),"Tesher, Jason Derulo"
"Tehas Nehas (From ""Khaali Peeli"")","Vishal-Shekhar, Shekhar Ravjiani, Prakriti Kakar"
X,"Nicky Jam, J Balvin"
